car_id,source_type,data_role,listing_id,source_url,car_name,title_full,price_chf,registration,age_years,fuel_type,mileage_km,power_ps,transmission,consumption_raw,drive_type,body_type,condition_text,original_price_chf,mfk_included,accident_damage,warranty,warranty_text,seller_name,optional_equipment_count,standard_equipment_count,service_keyword_count,price_score,mileage_score,age_score,condition_score,service_history_score,accident_risk_score,seller_trust_score,value_for_money_indicator,confidence_score,baseline_recommendation_score,budget_mode_score,reliability_mode_score,baseline_label
R11,real_autoscout24,real_market_sample,20451626,https://www.autoscout24.ch/en/d/20451626,BMW M440i xDrive Gran Coupé M Sport Pro /,BMW M440i xDrive Gran Coupé M Sport Pro / LCI / Glasdach / 360°Kamera / HeadUp Ab 980.- CHF pro Monat ohne Anzahlung / LCI / 360°Kamera / Harman/Kardon / Glasdach / el.Sitze / el. Heckklappe,64780.0,12/2024,1.42,Petrol,14000.0,374.0,Automatic,8.3 l/100 km,All-wheel (4x4),Sedan,Used,108120.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Carmotion AG,26,6,2,2.17,9.3,8.82,8.96,8.9,1.2,9.2,5.99,10.0,76.3,68.4,83.0,Strongly Recommend
R12,real_autoscout24,real_market_sample,20452056,https://www.autoscout24.ch/en/d/20452056,VW Golf VIII 1.5 TSI PHEV GTE DSG,VW Golf VIII 1.5 TSI PHEV GTE DSG ***CH-Fahrzeug***Anhängervorrichtung***5 Jahre Werksgarantie***Panoramadach Sitzheizung und Sitzlüftung***Lenkradheizung***Assistenzpaket***über 100 km Reichweite elektrisch***,39980.0,09/2025,0.67,Plug-in hybrid (petrol/electric),4900.0,272.0,Automated manual (AMT),,Front-wheel drive,Sedan,Used,66260.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km Werksgarantie",Deals on Wheels GmbH,34,65,3,5.72,9.76,9.44,9.28,9.6,1.2,9.55,8.12,10.0,86.8,82.6,90.2,Strongly Recommend
R13,real_autoscout24,real_market_sample,20453900,https://www.autoscout24.ch/en/d/20453900,POLESTAR 4 Long Range Dual Motor,"POLESTAR 4 Long Range Dual Motor Performance Plus Nappa Performance Pack | Plus Pack | Napper Interieur | Brembo Bremsen, Head-Up Display, Hifi Lautsprechersystem harman/kardon, Leichtmetallfelgen 22"", Lenkrad beheizbar, Lenksäule elektrisch einstellbar, Pilot Assist, Pixel LED- Scheinwerfer, Polsterung Leder Nappa, Rücksitzlehne elektrisch umklappbar, Spurwechselassistent, Ventilierte Vordersitze, Vordersitze 12-fach elektr. verstellbar, Vordersitze mit Massagefunktion",58900.0,03/2026,0.17,Electric,100.0,543.0,Automated manual (AMT),590 km,All-wheel (4x4),Sedan,Used,88400.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Herstellergarantie",Auto Bonau AG,0,0,2,3.01,9.99,9.86,8.46,8.9,1.2,9.2,5.8,10.0,79.3,72.9,84.7,Strongly Recommend
R14,real_autoscout24,real_market_sample,20444267,https://www.autoscout24.ch/en/d/20444267,AUDI A7 Sportback 3.0 50 TDI quattro T-Tronic /,AUDI A7 Sportback 3.0 50 TDI quattro T-Tronic / Rückfahrkamera / Glasdach / Ambientebeleuchtung Ab 920.- CHF pro Monat ohne Anzahlung / Rückfahrkamera / Glasdach / Ambientebeluchtung /,59480.0,02/2025,1.25,Diesel,25000.0,286.0,Automatic,6.4 l/100 km,All-wheel (4x4),Sedan,Used,113580.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Carmotion AG,26,6,2,2.93,8.75,8.96,8.8,8.9,1.2,9.2,6.15,10.0,76.9,69.7,82.8,Strongly Recommend
R15,real_autoscout24,real_market_sample,20450907,https://www.autoscout24.ch/en/d/20450907,BMW 520i 48V M Sport Steptronic / HeadUp /,BMW 520i 48V M Sport Steptronic / HeadUp / 360°Kamera / Harman/Kardon Ab 780.- CHF pro Monat ohne Anzahlung / HeadUp / 360°Kamera / Harman/Kardon / el. Sitze / Ambientebeleuchtung,47890.0,03/2025,1.17,Petrol,17800.0,208.0,Automatic,5.8 l/100 km,Rear-wheel drive,Sedan,Used,88630.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Carmotion AG,30,2,2,4.59,9.11,9.03,8.95,8.9,1.2,9.2,6.89,10.0,81.1,75.9,85.4,Strongly Recommend
R16,real_autoscout24,real_market_sample,20451008,https://www.autoscout24.ch/en/d/20451008,BMW 220d Gran Coupé M Sport / 360°Kamera,BMW 220d Gran Coupé M Sport / 360°Kamera / HeadUp / Ab 529.- CHF pro Monat ohne Anzahlung / 360°Kamera / HeadUp / Driving Assistans Plus /,35890.0,04/2025,1.08,Diesel,6000.0,163.0,Automated manual (AMT),4.2 l/100 km,Front-wheel drive,Sedan,Used,65810.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Carmotion AG,23,8,2,6.3,9.7,9.1,9.09,8.9,1.2,9.2,7.52,10.0,85.8,82.9,88.2,Strongly Recommend
R17,real_autoscout24,real_market_sample,20451359,https://www.autoscout24.ch/en/d/20451359,SKODA Octavia Limousine 2.0 TSI DSG RS,SKODA Octavia Limousine 2.0 TSI DSG RS ***Lenkradheizung***Canton Soundsystem***Rückfahrkamera***RS***,32850.0,10/2024,1.58,Petrol,26800.0,265.0,Automated manual (AMT),,Front-wheel drive,Sedan,Used,53900.0,Yes,No,Yes,"From delivery, 12 months or 20'000 km Diverse Garantiepakete gegen Aufpreis möglich",Deals on Wheels GmbH,7,11,1,6.74,8.66,8.68,7.98,8.2,1.2,8.85,6.87,10.0,81.0,79.4,82.6,Strongly Recommend
R18,real_autoscout24,real_market_sample,20451394,https://www.autoscout24.ch/en/d/20451394,SKODA Octavia Limousine 2.0 TSI DSG RS,SKODA Octavia Limousine 2.0 TSI DSG RS ***Lenkradheizung***Canton Soundsystem***Rückfahrkamera***RS***,34850.0,11/2024,1.5,Petrol,11600.0,265.0,Automated manual (AMT),,Front-wheel drive,Sedan,Used,53900.0,Yes,No,Yes,"From delivery, 12 months or 20'000 km Diverse Garantiepakete gegen Aufpreis möglich",Deals on Wheels GmbH,6,14,1,6.45,9.42,8.75,8.22,8.2,1.2,8.85,6.97,10.0,82.2,80.4,83.9,Strongly Recommend
R19,real_autoscout24,real_market_sample,20432804,https://www.autoscout24.ch/en/d/20432804,BMW 520d xDrive M-Sport 4x4 Panoramadach,"BMW 520d xDrive M-Sport 4x4 Panoramadach Fahrzeug mit 12-24 Monaten Garantie, M-Sportpaket, Head-Up Display, Driving Assistant Plus, Elektrisches Glasschiebedach",27900.0,08/2017,8.75,Diesel,103990.0,190.0,Automatic,,All-wheel (4x4),Sedan,Used,96900.0,Yes,No,Yes,,I.B.A. Automobile AG,65,71,2,7.44,4.8,2.71,5.86,8.9,1.31,9.2,6.27,10.0,66.4,66.0,67.9,Recommend
R20,real_autoscout24,real_market_sample,20445937,https://www.autoscout24.ch/en/d/20445937,HYUNDAI i30 Fastback N 2.0 T-GDi,HYUNDAI i30 Fastback N 2.0 T-GDi Top-Ausstattung - sehr gepflegt - Autobahnkilometer - Farbe: shadow grey - Garantie bis September 2026,17500.0,09/2020,5.67,Petrol,176000.0,275.0,Manual transmission,8.3 l/100 km,Front-wheel drive,Sedan,Used,39390.0,Yes,No,Yes,"From, 08.09.2025, 12 months or 200'000 km",Garage Andermatt AG Baar,20,42,2,8.93,1.2,5.28,5.04,8.9,1.56,9.2,5.81,10.0,65.2,64.9,65.8,Recommend
R21,real_autoscout24,real_market_sample,20434460,https://www.autoscout24.ch/en/d/20434460,BMW M135i xDrive M-SPORT,BMW M135i xDrive M-SPORT Driving Assistant Professional * AB MFK * 36 MONATE WERKGARANTIE * ANAHAENGEKUPPLUNG * MEMORY * AB SERVICE * KAMERA * KEYLESS * LENKRADHEIZUNG,39900.0,03/2025,1.17,Petrol,26800.0,300.0,Automated manual (AMT),7.6 l/100 km,All-wheel (4x4),Sedan,Used,80180.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Autostelz AG,28,49,2,5.73,8.66,9.03,8.79,8.9,1.2,9.2,7.57,10.0,82.4,78.5,85.6,Strongly Recommend
R22,real_autoscout24,real_market_sample,20442220,https://www.autoscout24.ch/en/d/20442220,BMW M140i xDrive M-Performance Edition,BMW M140i xDrive M-Performance Edition Steptronic *** CH-Fahrzeug / M-Performance / aus 1. Hand / Jährlicher Ölwechsel / inkl. Winterrad / frisch ab Service / 12 Mt. Garantie /,27900.0,05/2019,7.0,Petrol,121900.0,340.0,Automatic,9.7 l/100 km,All-wheel (4x4),Sedan,Used,79590.0,Yes,No,Yes,"From delivery, 12 months or 20'000 km CarGarantie",Expert Car Broker AG,57,74,3,7.44,3.9,4.17,5.91,9.6,1.2,9.55,6.34,10.0,68.4,66.8,70.5,Recommend
R23,real_autoscout24,real_market_sample,20450681,https://www.autoscout24.ch/en/d/20450681,OPEL Corsa-e 156 GS Pack Komfort 3 Phaser,"OPEL Corsa-e 156 GS Pack Komfort 3 Phaser Neuwagen mit Tageszulassung | 8 Jahre / 160'000 Garantie auf Batterie ab 1. IV | Metallic Lackierung, Beifahrersitz 6-fach verstellbar, Lenkradheizung, Sitzheizung vorne, Zweiter Klappschlüssel",27999.0,04/2026,0.08,Electric,100.0,156.0,Automated manual (AMT),428 km,Front-wheel drive,Sedan,Used,35490.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Herstellergarantie",Auto Bonau AG,0,0,2,7.43,9.99,9.93,8.48,8.9,1.2,9.2,7.36,10.0,88.2,87.1,89.2,Strongly Recommend
R24,real_autoscout24,real_market_sample,20451695,https://www.autoscout24.ch/en/d/20451695,POLESTAR 2 Long Range Dual Motor,POLESTAR 2 Long Range Dual Motor Performance mit Anhängerkupplung!,39996.0,07/2024,1.83,Electric,17400.0,476.0,Automated manual (AMT),568 km,All-wheel (4x4),Sedan,Used,71020.0,Yes,No,Yes,"From 1st registration, 60 months Werksgarantie",Stierli Automobile AG,7,70,3,5.71,9.13,8.47,8.09,9.6,1.2,9.55,7.14,10.0,82.3,78.9,85.4,Strongly Recommend
R25,real_autoscout24,real_market_sample,20412177,https://www.autoscout24.ch/en/d/20412177,MERCEDES-BENZ CLA 45 S AMG 4Matic+ 8G-,MERCEDES-BENZ CLA 45 S AMG 4Matic+ 8G- DCT *Schalensitze*Burmester*Schmiedefelgen* ab 769.- pro Monat ohne Anzahlung* Sonderlackierung Designo* Night Paket* AMG Perf. Sitze elektrisch* Schmiedefelgen* Rückfahrkamera* Burmester Sound System* Sitzheizung* Ambientebeleuchtung* Fernlicht Assistent*,49880.0,05/2021,5.0,Petrol,75000.0,422.0,Automated manual (AMT),,All-wheel (4x4),Sedan,Used,,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km",Auto Salon Volketswil AG,32,16,3,4.3,6.25,5.83,7.15,9.6,1.2,9.55,5.6,10.0,70.1,64.7,75.1,Recommend
R26,real_autoscout24,real_market_sample,20430438,https://www.autoscout24.ch/en/d/20430438,HYUNDAI Ioniq 5 72kWh Origo 4WD,HYUNDAI Ioniq 5 72kWh Origo 4WD Sehr gepflegt - tolle Ausstattung - 4WD - aus erster Hand - servicegepflegt,26900.0,07/2022,3.83,Electric,36700.0,306.0,Automatic,460 km,All-wheel (4x4),Sedan,Used,53900.0,Yes,No,Yes,"From 1st registration, 60 months",Garage Andermatt AG Baar,0,72,3,7.59,8.16,6.81,7.06,9.6,1.2,9.55,7.04,10.0,80.5,79.9,81.6,Strongly Recommend
R27,real_autoscout24,real_market_sample,20450614,https://www.autoscout24.ch/en/d/20450614,OPEL Corsa-e 156 GS Pack Winter,"OPEL Corsa-e 156 GS Pack Winter Neuwagen mit Tageszulassung | 8 Jahre / 160'000 Garantie auf Batterie ab 1. IV | Metallic Lackierung, Beifahrersitz 6-fach verstellbar, Lenkradheizung, Sitzheizung vorne, Zweiter Klappschlüssel",26499.0,04/2026,0.08,Electric,100.0,156.0,Automated manual (AMT),428 km,Front-wheel drive,Sedan,Used,35140.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Herstellergarantie",Auto Bonau AG,0,0,2,7.64,9.99,9.93,8.48,8.9,1.2,9.2,7.44,10.0,88.7,87.8,89.4,Strongly Recommend
R28,real_autoscout24,real_market_sample,20450664,https://www.autoscout24.ch/en/d/20450664,OPEL Corsa-e 156 GS Pack Komfort 3 Phaser,"OPEL Corsa-e 156 GS Pack Komfort 3 Phaser Neuwagen mit Tageszulassung | 8 Jahre / 160'000 Garantie auf Batterie ab 1. IV | Metallic Lackierung, Beifahrersitz 6-fach verstellbar, Lenkradheizung, Sitzheizung vorne, Zweiter Klappschlüssel",27999.0,04/2026,0.08,Electric,100.0,156.0,Automated manual (AMT),428 km,Front-wheel drive,Sedan,Used,36390.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Herstellergarantie",Auto Bonau AG,9,22,2,7.43,9.99,9.93,8.84,8.9,1.2,9.2,7.85,10.0,89.0,87.6,90.1,Strongly Recommend
R29,real_autoscout24,real_market_sample,20452259,https://www.autoscout24.ch/en/d/20452259,BMW M3 *CARBON-,BMW M3 *CARBON- SCHALENSITZE*WERKSGARANTIE*ALCANTARA -LENKRAD* TOP GEPFLEGTES FAHRZEUG • WERKSGARANTIE 2027 • CARBON SCHALENSITZE • ALCANTARA-LENKRAD • HARMAN/KARDON SOUNDSYSTEM • UVM,83890.0,08/2024,1.75,Petrol,13500.0,480.0,Manual transmission,,Rear-wheel drive,Sedan,Used,,Yes,No,Yes,,Nagel Automobile,21,93,3,0,9.32,8.54,8.74,9.6,1.2,9.55,5.73,10.0,72.6,61.9,81.6,Recommend
R30,real_autoscout24,real_market_sample,20443333,https://www.autoscout24.ch/en/d/20443333,AUDI RS3 Limousine 2.5 TSI quattro S-tronic,AUDI RS3 Limousine 2.5 TSI quattro S-tronic *NEUSTES MODELL* SMARTLINK-NAVI / PANORAMADACH / LEDER- ALCANTARA / MATRIX LED / 360°-KAMERA / ALU 19“ / RS-DESIGN ROT / SONOS / WERKSGARANTIE BIS 2031,62550.0,New,0.1,Petrol,1000.0,400.0,Automatic,,All-wheel (4x4),Sedan,New,93790.0,Yes,No,Yes,"From 1st registration, 60 months",Auto Discount Uster AG,0,69,4,2.49,9.95,9.92,9.46,10,1.2,9.9,6.42,10.0,82.5,74.1,89.3,Strongly Recommend
S01,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Older Budget Hatchback,"CHF 5k cheap but high mileage, no warranty",6500.0,03/2010,16.17,Petrol,210000.0,90.0,Manual transmission,6.5 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,No,,Private seller,2,25,0,10,0,0,4.58,5.0,3.12,7.3,4.47,10.0,49.4,53.6,46.9,Consider
S02,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Accident-Repaired Sedan,very cheap but accident reported,8900.0,06/2015,10.92,Petrol,135000.0,150.0,Automatic,7.0 l/100 km,Front-wheel drive,Sedan,Used,,Yes,Yes,No,,Private seller,3,30,0,10,3.25,0.9,0.48,5.0,8.14,6.3,4.71,10.0,41.3,50.9,34.1,Consider
S03,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Low-Mileage New Compact,nearly new with warranty,18500.0,02/2026,0.25,Petrol,2500.0,110.0,Automatic,5.1 l/100 km,Front-wheel drive,Sedan,New vehicle with daily registration,23000.0,Yes,No,Yes,"From 1st registration, 36 months",Dealer sample,8,55,3,8.79,9.88,9.79,9.72,10,1.2,9.55,8.69,10.0,95.0,94.0,95.6,Strongly Recommend
S04,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Missing-Service Diesel,moderate age but unclear service data,14500.0,09/2018,7.67,Diesel,98000.0,140.0,Manual transmission,4.9 l/100 km,Front-wheel drive,Sedan,Used,,Unknown,Unknown,Unknown,,Unknown seller,4,30,0,9.36,5.1,3.61,2.85,3.0,3.7,6.3,5.65,6.25,52.2,59.9,47.2,Consider
S05,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Premium Expensive Reliable,expensive but very reliable,72000.0,01/2025,1.33,Diesel,12000.0,330.0,Automatic,5.8 l/100 km,All-wheel (4x4),Sedan,Used,95000.0,Yes,No,Yes,36 months or 100000 km,Premium dealer,20,75,4,1.14,9.4,8.89,8.81,10,1.2,9.9,6.14,10.0,76.4,66.8,84.5,Strongly Recommend
S06,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Cheap Clean Student Car,"cheap, clean, MFK, warranty",9900.0,05/2016,10.0,Petrol,78000.0,100.0,Manual transmission,5.6 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,12 months,Local dealer,5,40,2,10,6.1,1.67,5.25,8.9,1.5,9.2,6.26,10.0,70.9,74.8,69.0,Recommend
S07,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Very Old No MFK,"old, no inspection",4200.0,01/2007,19.33,Petrol,190000.0,80.0,Manual transmission,7.2 l/100 km,Front-wheel drive,Sedan,Used,,No,No,No,,Private seller,1,20,0,10,0.5,0,1.47,3.0,3.4,6.3,4.03,10.0,39.8,47.6,35.1,Consider
S08,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic High Mileage Dealer Warranty,high mileage offset by warranty,15900.0,04/2017,9.08,Diesel,185000.0,190.0,Automatic,5.5 l/100 km,All-wheel (4x4),Sedan,Used,,Yes,No,Yes,12 months,Dealer sample,6,50,2,9.16,0.75,2.43,3.61,8.9,1.81,9.2,4.88,10.0,58.5,59.8,58.3,Recommend
S09,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Electric Used Good Value,"electric used, good mileage",22900.0,07/2022,3.83,Electric,42000.0,204.0,Automatic,430 km,Front-wheel drive,Sedan,Used,34000.0,Yes,No,Yes,Battery warranty active,EV dealer,10,58,3,8.16,7.9,6.81,7.37,9.6,1.2,9.55,7.35,10.0,81.9,81.6,82.6,Strongly Recommend
S10,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Electric Missing Warranty,EV without clear warranty,17900.0,10/2021,4.58,Electric,89000.0,136.0,Automatic,320 km,Front-wheel drive,Sedan,Used,,Yes,No,Unknown,,Unknown seller,5,45,0,8.87,5.55,6.18,5.19,5.0,1.2,7.3,6.47,8.75,66.0,69.6,64.0,Recommend
S11,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic High Price Poor Value,expensive for age/mileage,38900.0,08/2016,9.75,Petrol,152000.0,300.0,Automatic,8.9 l/100 km,Rear-wheel drive,Sedan,Used,,Yes,No,No,,Dealer sample,15,55,1,5.87,2.4,1.88,3.41,5.7,1.58,7.65,4.22,10.0,47.5,47.7,48.9,Consider
S12,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Service Strong Old Car,older car but strong service history,12900.0,05/2014,12.0,Petrol,115000.0,170.0,Automatic,6.7 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,fresh service and 12 months warranty,Trusted garage,8,45,4,9.59,4.25,0,5.56,10,1.8,9.9,5.66,10.0,67.8,69.9,67.4,Recommend
S13,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic No Accident Unknown MFK,uncertain inspection but no accident,11900.0,03/2018,8.17,Petrol,99000.0,125.0,Manual transmission,5.8 l/100 km,Front-wheel drive,Sedan,Used,,Unknown,No,No,,Private seller,3,28,0,9.73,5.05,3.19,2.69,3.0,1.22,6.3,5.63,8.75,54.6,62.3,50.1,Consider
S14,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Luxury High Mileage,"luxury, high power, high mileage",29900.0,11/2013,12.5,Diesel,220000.0,280.0,Automatic,6.8 l/100 km,All-wheel (4x4),Sedan,Used,85000.0,Yes,No,Yes,12 months,Dealer sample,18,65,2,7.16,0,0,6.22,8.9,2.67,9.2,4.5,10.0,54.8,52.2,57.6,Consider
S15,synthetic_balancing,synthetic_edge_case,synthetic,synthetic_balancing_case,Synthetic Balanced Family Sedan,balanced middle case,21900.0,09/2020,5.67,Petrol,68000.0,150.0,Automatic,5.9 l/100 km,Front-wheel drive,Sedan,Used,31000.0,Yes,No,Yes,12 months,Dealer sample,9,55,2,8.3,6.6,5.28,6.49,8.9,1.2,9.2,6.73,10.0,75.3,75.9,75.7,Recommend
