car_id,source_type,data_role,listing_id,source_url,car_name,title_full,price_chf,registration,age_years,fuel_type,mileage_km,power_ps,transmission,consumption_raw,drive_type,body_type,intended_category,condition_text,original_price_chf,mfk_included,accident_damage,warranty,warranty_text,seller_name,optional_equipment_count,standard_equipment_count,service_keyword_count,image_path,duplicate_adjustment_note,price_score,mileage_score,age_score,condition_score,service_history_score,accident_risk_score,seller_trust_score,value_for_money_indicator,confidence_score,recommendation_score,budget_mode_score,reliability_mode_score,recommendation_label
R11,real_autoscout24,real_market_sample,20480610,https://www.autoscout24.ch/en/d/20480610,"BMW M3 Competition M xDrive FACELIFT 4x4 Fahrzeug mit Werksgarantie, Gratisservice, Innovationspaket, Aktive","BMW M3 Competition M xDrive FACELIFT 4x4 Fahrzeug mit Werksgarantie, Gratisservice, Innovationspaket, Aktive Sitzbelüftung vorn, Driving Assistant Professional",89900.0,08/2025,0.75,Petrol,5010.0,530.0,Automated manual (AMT),-,All-wheel (4x4),Sedan,Sedan,Used,150000.0,Yes,No,Yes,"From 1st registration, 36 months or 200'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,20,100,18,images/11.webp,,0.4,9.56,9.14,10.0,9.8,1.2,9.5,6.03,10.0,78.8,67.4,88.0,Strongly Recommend
R12,real_autoscout24,real_market_sample,20481741,https://www.autoscout24.ch/en/d/20481741,BMW M440i xDrive Gran Coupé M Sport Pro / LCI / Glasdach / 360°Kamera / HeadUp,BMW M440i xDrive Gran Coupé M Sport Pro / LCI / Glasdach / 360°Kamera / HeadUp Ab 980.- CHF pro Monat ohne Anzahlung / LCI / 360°Kamera / Harman/Kardon / Glasdach / el.Sitze / el. Heckklappe,64780.0,12/2024,1.42,Petrol,9900.0,374.0,Automatic,8.3 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,102630.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,18,63,14,images/12.webp,,4.62,9.12,8.32,9.92,9.8,1.2,9.1,7.04,10.0,84.1,78.0,89.1,Strongly Recommend
R13,real_autoscout24,real_market_sample,20490069,https://www.autoscout24.ch/en/d/20490069,MERCEDES-BENZ C 63 S AMG Speedshift / KW / Panorama / Burmester,"MERCEDES-BENZ C 63 S AMG Speedshift / KW / Panorama / Burmester Perfekt gepflegtes Fahrzeug, Gute Ausstattung, Leasing ab 549.- im Monat ohne Anzahlung, AMG Performance Abgasanlage, Panoramadach, Ambientebeleuchtung, Fahrassistenz Plus, Keyless-Go, Sitzheizung vorne, KW Tieferlegung eingetragen, Pack AMG Driver, uvm.",38890.0,01/2018,8.33,Petrol,108000.0,510.0,Automated manual (AMT),8.4 l/100 km,Rear-wheel drive,Sedan,Sedan,Used,121920.0,Yes,No,Yes,"From delivery, 12 months Description Sehr geehrte Damen und Herren,",SM Automobilzentrum,28,40,8,images/13.webp,,8.96,0.41,0.0,8.21,8.87,1.26,9.1,5.82,10.0,62.8,62.5,66.8,Recommend
R14,real_autoscout24,real_market_sample,20483103,https://www.autoscout24.ch/en/d/20483103,AUDI RS7 SPORTBACK 4.0 TFSI QUATTRO *** KERAMIK BREMSEN ***,"AUDI RS7 SPORTBACK 4.0 TFSI QUATTRO *** KERAMIK BREMSEN *** ***PANORAMAGLASDACH // SPORTSITZE VORN // SONOS-SOUNDANLAGE // RS-SPORTAUSTATTUNG // RS-DYNAMIKPAKET PLUS // ASSISTENZPAKET PLUS // RS-KERAMIKBREMSANLAGE // ""KEYLESS ENTRY"" // ANDROID & APPLE CAR PLAY!!!***",97900.0,08/2023,2.75,-,19900.0,600.0,Automatic,-,All-wheel (4x4),Sedan,Sedan,Used,,Yes,No,Yes,"From delivery, 12 months Schutz vor hohen Reparaturkosten im Schadenfall",*** GARAGE REUSSER AG ***,76,83,8,images/14.webp,,0.0,8.23,6.69,9.84,8.87,1.2,9.1,4.7,9.58,70.7,59.7,80.4,Recommend
R15,real_autoscout24,real_market_sample,20475977,https://www.autoscout24.ch/en/d/20475977,POLESTAR 4 Long Range Dual Motor,POLESTAR 4 Long Range Dual Motor,50886.0,12/2024,1.42,Electric,12300.0,543.0,Automated manual (AMT),590 km,All-wheel (4x4),Sedan,Sedan,Used,80450.0,Yes,No,Yes,"From 1st registration, 60 months Werksgarantie Unfortunately, equipment details are not currently available in your language. Try using your browser’s translate feature while we work on an update.",Stierli Autocenter AG,19,56,9,images/15.webp,,6.95,8.91,8.32,9.91,9.55,1.2,9.1,7.7,10.0,87.5,84.3,90.2,Strongly Recommend
R16,real_autoscout24,real_market_sample,20487539,https://www.autoscout24.ch/en/d/20487539,LAND ROVER Evoque P 270e Dynamic SE Black Pack 4x4 5 Jahre Werksgarantie,"LAND ROVER Evoque P 270e Dynamic SE Black Pack 4x4 5 Jahre Werksgarantie Fahrzeug mit Werksgarantie, Black Pack, Winter Paket, Panorama Glasschiebedach, 20 Zoll Räder, Dunkel getönte Scheiben,",59900.0,New,0.05,Plug-in hybrid (petrol/electric),999.0,270.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,New,85900.0,Yes,No,Yes,"From 1st registration, 60 months or 150'000 km Range Rover Werksgarantie Quality1",I.B.A. Automobile AG,21,71,12,images/16.webp,,5.44,9.91,10.0,10.0,10.0,1.2,9.5,7.57,10.0,89.8,84.3,93.9,Strongly Recommend
R17,real_autoscout24,real_market_sample,20487821,https://www.autoscout24.ch/en/d/20487821,SKODA Karoq Sportline 4x4 *** PANORAMADACH & VIELES MEHR !!! ***,SKODA Karoq Sportline 4x4 *** PANORAMADACH & VIELES MEHR !!! *** AUSPARK- UND SIDE ASSIST / ELEKTR. HECKKLAPPE MIT VIRTUAL PEDAL / NAVI / ACC / VORBEREITUNG ANHÄNGERKUPPLUNG / TRAVEL ASSIST / VAR. LADEBODEN / APP CONNECT / SITZ- UND LENKRADHEIZUNG / UVM...!!!,36200.0,05/2025,1.0,Petrol,22500.0,190.0,Automatic,8.5 l/100 km,All-wheel (4x4),SUV / Off-road,SUV,Used,,Yes,No,Yes,"From 1st registration, 24 months Schutz vor hohen Reparaturkosten im Schadenfall",*** GARAGE REUSSER AG ***,32,107,7,images/17.webp,,9.41,8.0,8.84,10.0,8.78,1.2,9.1,9.26,10.0,90.2,89.7,90.4,Strongly Recommend
R18,real_autoscout24,real_market_sample,20487008,https://www.autoscout24.ch/en/d/20487008,SKODA Karoq Sportline 4x4 *** 360° Kamera & Anhängerkupplung ***,SKODA Karoq Sportline 4x4 *** 360° Kamera & Anhängerkupplung *** Ledersitze elektrisch verstellbar mit Memoryfunktion / Travel Assist / Parking Paket Plus / elektr. Heckklappe mit Virtual Pedal / Sitzheizung vo. und hi. / App Connect / Navi / Var. Ladeboden / uvm...!!!,37400.0,06/2025,0.92,Petrol,19900.0,190.0,Automatic,7.8 l/100 km,All-wheel (4x4),SUV / Off-road,SUV,Used,,Yes,No,Yes,"From 1st registration, 24 months Schutz vor hohen Reparaturkosten im Schadenfall",*** GARAGE REUSSER AG ***,41,100,7,images/18.webp,,9.21,8.23,8.93,10.0,8.78,1.2,9.1,9.22,10.0,90.3,89.6,90.6,Strongly Recommend
R19,real_autoscout24,real_market_sample,20494462,https://www.autoscout24.ch/en/d/20494462,"BMW XM xDrive PHEV (CH) INDIVIDUAL CH-Fahrzeug mit Werksgarantie & Gratisservice, AHK, Driving Assistant","BMW XM xDrive PHEV (CH) INDIVIDUAL CH-Fahrzeug mit Werksgarantie & Gratisservice, AHK, Driving Assistant Professional, BMW Individual Leder, Bowers & Wilkins Diamond",86900.0,04/2023,3.08,Plug-in hybrid (petrol/electric),50299.0,653.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,202900.0,Yes,No,Yes,"From 1st registration, 48 months or 200'000 km BMW Werksgarantie. Gratisservice 10 Jahre / 100'000km Quality1",I.B.A. Automobile AG,11,97,18,images/19.webp,,0.91,5.53,6.29,9.18,9.8,1.2,9.5,5.2,10.0,68.1,57.2,78.5,Recommend
R20,real_autoscout24,real_market_sample,20494453,https://www.autoscout24.ch/en/d/20494453,BMW X5 xDrive 50e M Sport Pro (CH) INDIVIDUAL,"BMW X5 xDrive 50e M Sport Pro (CH) INDIVIDUAL CH-Fahrzeug mit Werksgarantie & Gratisservice, AHK, Innovationspaket, Driving Assistant Professional, Bowers & Wilkins",72900.0,07/2023,2.83,Plug-in hybrid (petrol/electric),36499.0,489.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,161900.0,Yes,No,Yes,"From 1st registration, 48 months or 200'000 km BMW Werksgarantie. Quality1",I.B.A. Automobile AG,50,87,24,images/20.webp,,3.26,6.76,6.6,9.67,9.8,1.2,9.5,6.22,10.0,75.6,67.5,83.2,Strongly Recommend
R21,real_autoscout24,real_market_sample,20487912,https://www.autoscout24.ch/en/d/20487912,SKODA Elroq RS LOUNGE 4X4 *** ANHÄNGEKUPPLUNG - WÄRMEPUMPE & MAXX,SKODA Elroq RS LOUNGE 4X4 *** ANHÄNGEKUPPLUNG - WÄRMEPUMPE & MAXX AUSSTATTUNGSPAKET *** 4 JAHRE SKODA HERSTELLERGARANTIE,43900.0,05/2026,0.05,Electric,20.0,340.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,,Yes,No,Yes,"From 1st registration, 48 months Schutz vor hohen Reparaturkosten im Schadenfall",*** GARAGE REUSSER AG ***,13,142,8,images/21.webp,,8.12,10.0,10.0,10.0,9.47,1.2,9.1,9.15,10.0,93.6,91.7,94.5,Strongly Recommend
R22,real_autoscout24,real_market_sample,20492236,https://www.autoscout24.ch/en/d/20492236,MERCEDES-BENZ GLC 200 AMG Line 4matic Coupé / Panorama-Schiebedach /,MERCEDES-BENZ GLC 200 AMG Line 4matic Coupé / Panorama-Schiebedach / Rückfahrkamera / AHK Ab 799.- CHF pro Monat ohne Anzahlung / AMG-Line / Panorama-Schiebedach / Rückfahrkamera / El. schwenkbare Anhängerkupplung,54890.0,09/2023,2.67,Petrol,19600.0,204.0,Automatic,7 l/100 km,All-wheel (4x4),SUV / Off-road,SUV,Used,87851.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,14,77,12,images/22.webp,,6.28,8.26,6.79,9.59,9.8,1.2,9.1,7.1,10.0,83.1,79.4,86.9,Strongly Recommend
R23,real_autoscout24,real_market_sample,20491468,https://www.autoscout24.ch/en/d/20491468,BMW X5 30d xDrive M-SPORT * 7 SITZER * 22 ZOLL ALUFELGEN *,BMW X5 30d xDrive M-SPORT * 7 SITZER * 22 ZOLL ALUFELGEN * 7 SITZER * ANAHENGEKUPPLUNG * 22 ZOLL ALUFELGEN * 8 FACH BEREIFT * MEMORY * KAMERAS * BELUEFTETE SITZE * HEAD-UP * LENKRADHEIZUNG *,49900.0,03/2020,6.17,Diesel,91700.0,265.0,Automatic,8.6 l/100 km,All-wheel (4x4),SUV / Off-road,SUV,Used,139460.0,Yes,No,Yes,"From delivery, 24 months or 40'000 km Schutz vor hohen Reparaturkosten im Schadenfall",Autostelz AG,73,59,12,images/23.webp,,7.11,1.86,2.51,8.68,9.2,1.2,9.1,5.92,10.0,66.4,63.3,71.8,Recommend
R24,real_autoscout24,real_market_sample,20489842,https://www.autoscout24.ch/en/d/20489842,LAND ROVER RR Sport P635 Edition TWO Carbon,"LAND ROVER RR Sport P635 Edition TWO Carbon Fahrzeug mit Werksgarantie, Carbon Edition, 23 Zoll Carbon LM, AHK, Panorama-Glasschiebedach, Klima-Paket",169900.0,01/2025,1.33,Petrol,14600.0,635.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,250000.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km Range Rover Werksgarantie Quality1",I.B.A. Automobile AG,25,98,11,images/24.webp,,0.0,8.7,8.43,10.0,9.72,1.2,9.5,5.55,10.0,75.6,63.7,85.6,Strongly Recommend
R25,real_autoscout24,real_market_sample,20494464,https://www.autoscout24.ch/en/d/20494464,BMW X1 sDrive 20i 48V M Sport INNOVATIONSPAKET,"BMW X1 sDrive 20i 48V M Sport INNOVATIONSPAKET Fahrzeug mit Werksgarantie, Driving Assistant Plus, BMW Head-Up Display, BMW Live Cockpit Professional, Komfortzugang",39900.0,04/2025,1.08,Mild hybrid (petrol/electric),15499.0,156.0,Automated manual (AMT),-,Front-wheel drive,SUV / Off-road,SUV,Used,67320.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,14,75,12,images/25.webp,,8.79,8.62,8.74,9.84,9.8,1.2,9.5,8.31,10.0,91.6,90.2,92.8,Strongly Recommend
R26,real_autoscout24,real_market_sample,20494461,https://www.autoscout24.ch/en/d/20494461,BMW X3 xDrive 48V 20d M Sport 4x4 Panoramadach / Driving Assistant & Parking,"BMW X3 xDrive 48V 20d M Sport 4x4 Panoramadach / Driving Assistant & Parking Assistant Plus Fahrzeug mit Werksgarantie, Panorama-Glasdach, Driving Assistant & Parking Assistant Plus, Innovationspaket",53900.0,06/2025,0.92,Mild hybrid (diesel/electric),13115.0,197.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,86900.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,16,62,11,images/26.webp,,6.44,8.84,8.93,9.92,9.72,1.2,9.5,7.65,10.0,88.0,83.7,91.4,Strongly Recommend
R27,real_autoscout24,real_market_sample,20494459,https://www.autoscout24.ch/en/d/20494459,BMW X2 sDrive 20i 48V M Sport Head Up Display,"BMW X2 sDrive 20i 48V M Sport Head Up Display Fahrzeug mit Werksgarantie, Driving Assistant & Parking Assistant Plus, BMW Head-Up Display, Innovationspaket,",42900.0,04/2025,1.08,Mild hybrid (petrol/electric),17100.0,170.0,Automatic,-,Front-wheel drive,SUV / Off-road,SUV,Used,70399.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,30,73,11,images/27.webp,,8.29,8.48,8.74,10.0,9.72,1.2,9.5,8.16,10.0,90.6,88.4,92.4,Strongly Recommend
R28,real_autoscout24,real_market_sample,20494456,https://www.autoscout24.ch/en/d/20494456,"BMW X4 xDrive 48V 20d M Sport 4x4 Fahrzeug mit Werksgarantie, M-Sport Paket, Parking Assistant Plus, Ambientes","BMW X4 xDrive 48V 20d M Sport 4x4 Fahrzeug mit Werksgarantie, M-Sport Paket, Parking Assistant Plus, Ambientes Licht, Sitzheizung für Fahrer und Beifahrer",49900.0,03/2025,1.17,Mild hybrid (diesel/electric),19999.0,190.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,77900.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,12,92,12,images/28.webp,,7.11,8.23,8.63,9.75,9.8,1.2,9.5,7.64,10.0,87.6,84.1,90.6,Strongly Recommend
R29,real_autoscout24,real_market_sample,20494450,https://www.autoscout24.ch/en/d/20494450,BMW X7 xDrive 48V 40i M Sport Pro (CH) INDIVIDUAL,"BMW X7 xDrive 48V 40i M Sport Pro (CH) INDIVIDUAL CH-Fahrzeug mit Werksgarantie & Gratisservice, Komfortpaket, Parking Assistant Professional, 22 Zoll LM Räder, Integral-Aktivlenkung",93900.0,06/2025,0.92,Mild hybrid (petrol/electric),7900.0,380.0,Automatic,-,All-wheel (4x4),SUV / Off-road,SUV,Used,145900.0,Yes,No,Yes,"From 1st registration, 48 months or 200'000 km BMW Werksgarantie. Gratisservice 10 Jahre / 100'000km. Quality1",I.B.A. Automobile AG,16,96,18,images/29.webp,,0.0,9.3,8.93,9.97,9.8,1.2,9.5,5.76,10.0,77.3,65.5,87.0,Strongly Recommend
R30,real_autoscout24,real_market_sample,20490803,https://www.autoscout24.ch/en/d/20490803,"CUPRA Ateca 2.0TSI 4Drive DSG "" Aus erster Hand"" AHK"" Top ausgestattet"" 3.9% Leasing""","CUPRA Ateca 2.0TSI 4Drive DSG "" Aus erster Hand"" AHK"" Top ausgestattet"" 3.9% Leasing""",29900.0,08/2022,3.75,Petrol,61500.0,300.0,Automated manual (AMT),9.7 l/100 km,All-wheel (4x4),SUV / Off-road,SUV,Used,61250.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km 60 Monate Neuwagengarantie ab Datum der 1. Immatrikulation CUPRA Approved",Altenburg-Garage AG,3,124,12,images/30.webp,,10.0,4.54,5.47,8.85,9.8,1.2,9.1,7.48,10.0,80.9,81.0,82.4,Strongly Recommend
R31,real_autoscout24,real_market_sample,20489039,https://www.autoscout24.ch/en/d/20489039,FORD Ranger Limited 2.0 Eco Blue 4x4 Automat,"FORD Ranger Limited 2.0 Eco Blue 4x4 Automat 1 Hand, ab Mfk, AHK 3500 kg, alle Service ausgeführt, letzte Service bei 62.000 km. BITTE MELDEN SIE SICH TELEFONISCH FÜR EINE BESICHTIGUNG AN, DA WIR ZWEI AUSSTELLUNGSPLÄTZE HABEN.",39800.0,07/2023,2.83,Diesel,66000.0,170.0,Automatic,9.4 l/100 km,All-wheel (4x4),Pick-up,Pickup,Used,57910.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km Senn AG in Döttingen alle Mfk Termine und Service für uns durch.",Auto Ehrendingen gmbh,32,124,19,images/31.webp,,8.81,4.14,6.6,9.38,9.8,1.2,9.1,7.07,10.0,80.5,78.3,83.4,Strongly Recommend
R32,real_autoscout24,real_market_sample,20416288,https://www.autoscout24.ch/en/d/20416288,FORD Ranger Raptor 3.0 Eco Boost 4x4 A CH Neuwagen mit Tageszulassung,FORD Ranger Raptor 3.0 Eco Boost 4x4 A CH Neuwagen mit Tageszulassung,66900.0,12/2025,0.42,Petrol,100.0,292.0,Automatic,-,All-wheel (4x4),Pick-up,Pickup,New vehicle with,76500.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Quality1 Leistungsstarke Fahrzeuggarantien",SCHMID AUTOMOBILE,19,165,10,images/32.webp,,4.26,9.99,9.55,10.0,10.0,1.2,9.5,6.9,10.0,87.2,80.5,92.5,Strongly Recommend
R33,real_autoscout24,real_market_sample,12870377,https://www.autoscout24.ch/en/d/12870377,VW Amarok 3.0TDI Aventura Winter 1 3.5T Anhängelast - Top Ausstattung,VW Amarok 3.0TDI Aventura Winter 1 3.5T Anhängelast - Top Ausstattung,50900.0,11/2024,1.5,Diesel,20200.0,240.0,Automatic,-,All-wheel (4x4),Pick-up,Pickup,Used,77421.0,Yes,No,Yes,"From 1st registration, 24 months Original Volkswagen Werksgarantie nicht alle Fahrzeuge auf dem Hof",meinjahreswagen.ch,1,144,12,images/33.webp,,6.95,8.21,8.22,9.52,9.2,1.2,9.1,7.44,10.0,85.1,82.0,87.8,Strongly Recommend
R34,real_autoscout24,real_market_sample,20446597,https://www.autoscout24.ch/en/d/20446597,NISSAN Navara Double Cab N-Connecta 2.3 dCi 4WD Automatic,NISSAN Navara Double Cab N-Connecta 2.3 dCi 4WD Automatic,21990.0,03/2018,8.17,Diesel,114363.0,190.0,Automatic,6.9 l/100 km,All-wheel (4x4),Pick-up,Pickup,Used,45195.0,Yes,No,Yes,"From delivery, 12 months or 10'000 km Vous bénéficiez d'une garantie de 12 mois ou 10000 km sur la boîte vitesse et le moteur !",A-U-AUTOMOBIL,2,60,10,images/34.webp,,10.0,0.0,0.06,7.74,9.63,1.23,9.1,5.71,10.0,64.4,65.2,67.8,Recommend
